x,y,z
186.97399505077246,-119.3426274441928,12.543415592118418
170.09836549318254,-99.231026978354933,10.429601205187705
134.34261538139759,-57.284461173212541,6.0208394842168396
78.071973728980296,-20.841426781557121,2.1905222237211497
39.772416528567163,-13.894284521038079,1.4603481491474331
18.093564920154389,-6.9471422605190396,0.73017407457371653
0.2632140317367504,0,0
18.093564920154432,6.9471422605190396,0.73017407457371653
39.772416528567099,13.894284521038079,1.4603481491474331
78.071973728980296,20.841426781557121,2.1905222237211497
134.34261538139762,57.284461173212541,6.0208394842168396
170.09836549318254,99.231026978354933,10.429601205187705
186.97399505077246,119.3426274441928,12.543415592118418
