x,y,z
189.33107285554118,-119.3426274441928,12.543415592118418
242.98982947250553,-99.231026978354933,10.429601205187705
235.99885958575445,-57.284461173212541,6.0208394842168396
257.24906801003698,-20.841426781557121,2.1905222237211497
266.33177801896335,-13.894284521038079,1.4603481491474331
267.21860591674022,-6.9471422605190396,0.73017407457371653
269.07249922220029,0,0
267.21860591674022,6.9471422605190396,0.73017407457371653
266.33177801896335,13.894284521038079,1.4603481491474331
257.24906801003692,20.841426781557121,2.1905222237211497
235.99885958575447,57.284461173212541,6.0208394842168396
242.98982947250556,99.231026978354933,10.429601205187705
189.33107285554118,119.3426274441928,12.543415592118418
